ISO3,Country,Continent,Hemisphere,Metric tons of CO2e per capita (1990),Metric tons of CO2e per capita (1995),Metric tons of CO2e per capita (2000),Metric tons of CO2e per capita (2005),Metric tons of CO2e per capita (2010),Metric tons of CO2e per capita (2013),Metric tons of CO2e per capita (2018)
MDG,Madagascar,Africa,Southern Hemisphere,1.99,1.77,1.53,1.36,1.24,1.15,1.16
MWI,Malawi,Africa,Southern Hemisphere,0.95,0.64,0.58,0.53,0.59,0.61,1.01
MYS,Malaysia,Asia,Northern Hemisphere,5.72,6.79,7.91,9.33,9.94,10.2,9.73
MDV,Maldives,Asia,Northern Hemisphere,0.84,1.19,1.83,2.1,2.69,2.86,4.61
MLI,Mali,Africa,Northern Hemisphere,1.81,1.67,1.72,1.79,1.82,1.77,2.29
MLT,Malta,Europe,Northern Hemisphere,7,7.01,6.24,7.77,7.48,7.04,4.2
MRT,Mauritania,Africa,Northern Hemisphere,3.08,2.81,3.06,2.94,2.9,2.84,3.2
MUS,Mauritius,Africa,Southern Hemisphere,2.02,2.29,3.31,3.71,4.33,4.52,5.33
MEX,Mexico,America,Northern Hemisphere,5,5.1,5.74,6.28,6.19,5.98,5.39
MDA,Moldova,Europe,Northern Hemisphere,,4.12,2.6,2.91,3.02,2.82,4.87
MNG,Mongolia,Asia,Northern Hemisphere,12.81,11.28,11.48,10.13,10.91,13.47,16.6
MNE,Montenegro,Europe,Northern Hemisphere,,,,,5.81,5.4,6.11
MAR,Morocco,Africa,Northern Hemisphere,1.53,1.64,1.76,2.07,2.23,2.33,2.62
MOZ,Mozambique,Africa,Southern Hemisphere,1.38,1.23,1.03,1.09,1.09,1.04,1.19
MMR,Myanmar,Asia,Northern Hemisphere,1.37,1.52,1.6,1.78,1.84,1.92,2.23
NAM,Namibia,Africa,Southern Hemisphere,5.17,5.41,5.31,5.05,5.21,4.87,4.87
NRU,Nauru,Oceania,Southern Hemisphere,14.23,11.02,8.86,6.71,4.94,4.53,6.03
NPL,Nepal,Asia,Northern Hemisphere,1.07,1.11,1.16,1.12,1.22,1.29,1.82
NLD,Netherlands,Europe,Northern Hemisphere,13.18,13.93,12.85,12.4,12.01,11.09,10.37
NZL,New Zealand,Oceania,Southern Hemisphere,19.01,18.27,18.4,18.77,16.86,16.62,16.6
NIC,Nicaragua,America,Northern Hemisphere,2.26,1.94,2.33,2.43,2.42,2.37,2.95
NER,Niger,Africa,Northern Hemisphere,1.35,1.4,1.43,1.44,1.49,1.44,2.01
NGA,Nigeria,Africa,Northern Hemisphere,2.11,2.04,1.94,2.05,1.79,1.77,1.59
PRK,North Korea,Asia,Northern Hemisphere,7.68,4.92,4.12,4.27,3.83,2.55,1.64
NOR,Norway,Europe,Northern Hemisphere,10.69,10.59,10.48,10.41,10.09,9.18,8.91
OMN,Oman,Asia,Northern Hemisphere,22,22.92,27.97,25.84,27.82,27.43,17.04
PAK,Pakistan,Asia,Northern Hemisphere,1.43,1.54,1.6,1.72,1.8,1.8,2.03
PLW,Palau,Oceania,Northern Hemisphere,,6.98,6.74,10.3,11.64,17.03,17.93
PAN,Panama,America,Northern Hemisphere,2.93,3.37,3.37,3.83,4.24,4.45,4.31
PNG,Papua New Guinea,Oceania,Southern Hemisphere,2.09,2.68,2.31,2.22,2.08,2.16,2.67
PRY,Paraguay,America,Southern Hemisphere,5.25,5.71,5.08,4.92,5.56,5.81,7.07
PER,Peru,America,Southern Hemisphere,1.94,2.07,2.27,2.34,2.77,2.82,3.01
PHL,Philippines,Asia,Northern Hemisphere,1.45,1.68,1.73,1.67,1.65,1.74,2.18
POL,Poland,Europe,Northern Hemisphere,11.23,10.7,9.4,9.6,9.82,9.43,10.26
PRT,Portugal,Europe,Northern Hemisphere,5.67,6.61,7.6,7.76,6.14,5.89,6.5
QAT,Qatar,Asia,Northern Hemisphere,29.75,37.3,41.58,52.1,39.13,36.82,35.89
COG,Republic of the Congo,Africa,Southern Hemisphere,1.07,1.69,1.41,1.88,1.67,1.46,1.79
ROU,Romania,Europe,Northern Hemisphere,10.12,7.31,5.84,6.29,5.67,5.46,5.6
RUS,Russia,Europe,Northern Hemisphere,,14.45,13.92,14.7,15.21,15.31,17.6
RWA,Rwanda,Africa,Southern Hemisphere,0.52,0.63,0.54,0.56,0.61,0.6,0.5
KNA,Saint Kitts and Nevis,America,Northern Hemisphere,4.77,5.47,5.95,6.57,7.01,8.04,7.03
LCA,Saint Lucia,America,Northern Hemisphere,5.74,6.85,6.5,6.5,6.5,6.44,4.05
VCT,Saint Vincent and the Grenadines,America,Northern Hemisphere,1.41,1.9,2.09,2.64,2.65,2.53,3.32
WSM,Samoa,Oceania,Southern Hemisphere,2.17,2.13,2.28,2.39,2.54,2.67,3.52
STP,São Tomé and Príncipe,Africa,Northern Hemisphere,0.83,0.85,0.77,0.9,0.96,1.01,0.92
SAU,Saudi Arabia,Asia,Northern Hemisphere,11.49,13.29,13.39,14.67,17.69,18.26,18.94
SEN,Senegal,Africa,Northern Hemisphere,1.75,1.69,1.84,1.88,1.89,1.8,1.89
SRB,Serbia,Europe,Northern Hemisphere,,,,,6.54,6.62,8.96
SYC,Seychelles,Africa,Southern Hemisphere,2.94,3.38,7.86,8.45,8.28,7.65,8.02
SLE,Sierra Leone,Africa,Northern Hemisphere,0.89,0.87,0.73,0.8,0.83,0.97,0.94
SGP,Singapore,Asia,Northern Hemisphere,10.28,11.82,11.88,9.48,9.84,9.88,11.82
SVK,Slovakia,Europe,Northern Hemisphere,,9.36,8.48,8.68,7.9,7.43,7.33
SVN,Slovenia,Europe,Northern Hemisphere,,8.92,9.01,9.67,9.3,8.72,8.28
SLB,Solomon Islands,Oceania,Southern Hemisphere,1.11,1.03,0.99,0.98,1.01,0.99,1.44
ZAF,South Africa,Africa,Southern Hemisphere,8.18,7.77,7.71,9.23,9.5,9.49,8.88
KOR,South Korea,Asia,Northern Hemisphere,6.77,9.45,10.77,11.24,13.02,13.43,13.93
ESP,Spain,Europe,Northern Hemisphere,6.91,7.54,8.99,9.62,7.27,6.57,6.99
LKA,Sri Lanka,Asia,Northern Hemisphere,1.3,1.38,1.64,1.8,1.79,1.87,1.63
SDN,Sudan,Africa,Northern Hemisphere,3.83,3.9,4.38,4.57,4.27,,2.62
SUR,Suriname,America,Northern Hemisphere,7.27,7.75,5.67,5.63,5.9,6.18,6.57
SWE,Sweden,Europe,Northern Hemisphere,7.9,8.18,7.53,7,6.25,5.29,4.56
CHE,Switzerland,Europe,Northern Hemisphere,7.77,7.33,7.16,7.21,6.77,6.34,5.41
SYR,Syria,Asia,Northern Hemisphere,4.35,4.64,4.46,4.87,4.31,3.32,2.74
TJK,Tajikistan,Asia,Northern Hemisphere,,1.28,0.98,1.04,1.1,1.25,1.67
TZA,Tanzania,Africa,Southern Hemisphere,1.64,1.56,1.39,1.55,1.46,1.54,1.87
THA,Thailand,Asia,Northern Hemisphere,2.69,3.8,3.85,4.67,5.1,5.42,6.01
TGO,Togo,Africa,Northern Hemisphere,0.93,0.75,0.94,0.97,1.01,0.93,1.07
TON,Tonga,Oceania,Southern Hemisphere,2.4,2.56,2.62,2.85,3.07,3.92,3.36
TTO,Trinidad and Tobago,America,Northern Hemisphere,12.31,11.22,12.42,16.4,19.11,19.15,16.48
TUN,Tunisia,Africa,Northern Hemisphere,2.36,2.52,2.89,3.04,3.36,3.24,3.55
TUR,Turkey,Asia,Northern Hemisphere,3.71,4.18,4.8,4.66,5.18,5.39,6.1
TKM,Turkmenistan,Asia,Northern Hemisphere,,13.39,14.51,18.13,19.44,20.93,21.38
UGA,Uganda,Africa,Northern Hemisphere,0.82,0.78,0.73,0.8,0.92,0.89,1.28
UKR,Ukraine,Europe,Northern Hemisphere,,10.41,8.25,8.54,8.13,8.33,6.15
ARE,United Arab Emirates,Asia,Northern Hemisphere,40.13,38.81,34.89,32.13,23.73,24.59,27.33
GBR,United Kingdom,Europe,Northern Hemisphere,12.9,11.63,11,10.53,9.03,8.45,6.8
USA,United States,America,Northern Hemisphere,23.23,23.26,23.86,22.92,20.97,19.9,18.44
URY,Uruguay,America,Southern Hemisphere,8.38,9.15,8.83,9.6,9.71,9.98,10.48
UZB,Uzbekistan,Asia,Northern Hemisphere,,7.9,8.4,7.85,7.55,7.52,7.15
VUT,Vanuatu,Oceania,Southern Hemisphere,3.04,3.07,2.85,2.5,2.79,2.66,2.96
VEN,Venezuela,America,Northern Hemisphere,8.62,8.73,8.7,8.85,9.08,8.85,8.1
VNM,Vietnam,Asia,Northern Hemisphere,1.03,1.25,1.63,2.16,2.8,2.81,3.94
YEM,Yemen,Asia,Northern Hemisphere,0.99,1,1.15,1.33,1.41,1.39,0.76
ZMB,Zambia,Africa,Southern Hemisphere,5.18,4.2,3.36,3.58,3.31,3.31,2.34
ZWE,Zimbabwe,Africa,Southern Hemisphere,3.25,2.62,2.47,1.93,1.81,1.82,2.17
